"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US29187","St. Francois County, Missouri","66215","*****"
"0500000US29189","St. Louis County, Missouri","1001444","*****"
"0500000US29510","St. Louis city, Missouri","318416","*****"
"0500000US30013","Cascade County, Montana","82384","*****"
"0500000US30029","Flathead County, Montana","93068","*****"
"0500000US30031","Gallatin County, Montana","94720","*****"
"0500000US30049","Lewis and Clark County, Montana","65338","*****"
"0500000US30063","Missoula County, Montana","111807","*****"
"0500000US30111","Yellowstone County, Montana","154162","*****"
"0500000US31055","Douglas County, Nebraska","537256","*****"
"0500000US31109","Lancaster County, Nebraska","297036","*****"
"0500000US31153","Sarpy County, Nebraska","169331","*****"
"0500000US32003","Clark County, Nevada","2027868","*****"
"0500000US32031","Washoe County, Nevada","433731","*****"
"0500000US33005","Cheshire County, New Hampshire","76610","*****"
"0500000US33009","Grafton County, New Hampshire","89629","*****"
"0500000US33011","Hillsborough County, New Hampshire","403985","*****"
"0500000US33013","Merrimack County, New Hampshire","146849","*****"
"0500000US33015","Rockingham County, New Hampshire","299134","*****"
"0500000US33017","Strafford County, New Hampshire","124593","*****"
"0500000US34001","Atlantic County, New Jersey","275862","*****"
"0500000US34003","Bergen County, New Jersey","925328","*****"
"0500000US34005","Burlington County, New Jersey","450838","*****"
"0500000US34007","Camden County, New Jersey","512854","*****"
"0500000US34009","Cape May County, New Jersey","95897","*****"
"0500000US34011","Cumberland County, New Jersey","157332","*****"
"0500000US34013","Essex County, New Jersey","789565","*****"
"0500000US34015","Gloucester County, New Jersey","290265","*****"
"0500000US34017","Hudson County, New Jersey","660282","*****"
"0500000US34019","Hunterdon County, New Jersey","126250","*****"
"0500000US34021","Mercer County, New Jersey","370414","*****"
"0500000US34023","Middlesex County, New Jersey","828919","*****"
"0500000US34025","Monmouth County, New Jersey","629672","*****"
"0500000US34027","Morris County, New Jersey","499397","*****"
"0500000US34029","Ocean County, New Jersey","583414","*****"
"0500000US34031","Passaic County, New Jersey","505672","*****"
"0500000US34033","Salem County, New Jersey","65166","*****"
"0500000US34035","Somerset County, New Jersey","330585","*****"
"0500000US34037","Sussex County, New Jersey","145992","*****"
"0500000US34039","Union County, New Jersey","548256","*****"
"0500000US34041","Warren County, New Jersey","107379","*****"
"0500000US35001","Bernalillo County, New Mexico","674221","*****"
"0500000US35005","Chaves County, New Mexico","65823","*****"
"0500000US35013","Do?a Ana County, New Mexico","213460","*****"
"0500000US35025","Lea County, New Mexico","68062","*****"
"0500000US35031","McKinley County, New Mexico","73308","*****"
"0500000US35035","Otero County, New Mexico","65616","*****"
"0500000US35043","Sandoval County, New Mexico","136575","*****"
"0500000US35045","San Juan County, New Mexico","126503","*****"
"0500000US35049","Santa Fe County, New Mexico","147423","*****"
"0500000US35061","Valencia County, New Mexico","76284","*****"
"0500000US36001","Albany County, New York","306945","*****"
"0500000US36005","Bronx County, New York","1418733","*****"
"0500000US36007","Broome County, New York","197534","*****"
"0500000US36009","Cattaraugus County, New York","78892","*****"
"0500000US36011","Cayuga County, New York","79477","*****"
"0500000US36013","Chautauqua County, New York","133080","*****"
"0500000US36015","Chemung County, New York","88506","*****"
"0500000US36019","Clinton County, New York","81591","*****"
"0500000US36027","Dutchess County, New York","296916","*****"
"0500000US36029","Erie County, New York","919866","*****"
"0500000US36045","Jefferson County, New York","119504","*****"
"0500000US36047","Kings County, New York","2592149","*****"
"0500000US36051","Livingston County, New York","64705","*****"
"0500000US36053","Madison County, New York","72382","*****"
"0500000US36055","Monroe County, New York","749606","*****"
"0500000US36059","Nassau County, New York","1352146","*****"
"0500000US36061","New York County, New York","1626159","*****"
"0500000US36063","Niagara County, New York","214249","*****"
"0500000US36065","Oneida County, New York","233585","*****"
"0500000US36067","Onondaga County, New York","468387","*****"
"0500000US36069","Ontario County, New York","109103","*****"
"0500000US36071","Orange County, New York","375592","*****"
"0500000US36075","Oswego County, New York","121165","*****"
"0500000US36079","Putnam County, New York","99645","*****"
"0500000US36081","Queens County, New York","2296175","*****"
"0500000US36083","Rensselaer County, New York","159918","*****"
"0500000US36085","Richmond County, New York","472621","*****"
"0500000US36087","Rockland County, New York","320903","*****"
"0500000US36089","St. Lawrence County, New York","111963","*****"
"0500000US36091","Saratoga County, New York","223865","*****"
"0500000US36093","Schenectady County, New York","155333","*****"
"0500000US36101","Steuben County, New York","98650","*****"
"0500000US36103","Suffolk County, New York","1499738","*****"
"0500000US36105","Sullivan County, New York","76665","*****"
"0500000US36109","Tompkins County, New York","103617","*****"
"0500000US36111","Ulster County, New York","180998","*****"
"0500000US36113","Warren County, New York","65337","*****"
"0500000US36117","Wayne County, New York","92473","*****"
"0500000US36119","Westchester County, New York","968802","*****"
"0500000US37001","Alamance County, North Carolina","154378","*****"
"0500000US37019","Brunswick County, North Carolina","115301","*****"
"0500000US37021","Buncombe County, North Carolina","247912","*****"
"0500000US37023","Burke County, North Carolina","89842","*****"
"0500000US37025","Cabarrus County, North Carolina","187226","*****"
"0500000US37027","Caldwell County, North Carolina","81990","*****"
"0500000US37031","Carteret County, North Carolina","68434","*****"
"0500000US37035","Catawba County, North Carolina","154810","*****"
"0500000US37037","Chatham County, North Carolina","66817","*****"
"0500000US37045","Cleveland County, North Carolina","97047","*****"
"0500000US37049","Craven County, North Carolina","104489","*****"
"0500000US37051","Cumberland County, North Carolina","325871","*****"
"0500000US37057","Davidson County, North Carolina","163420","*****"
"0500000US37063","Durham County, North Carolina","288133","*****"
"0500000US37067","Forsyth County, North Carolina","361220","*****"
"0500000US37071","Gaston County, North Carolina","209420","*****"
"0500000US37081","Guilford County, North Carolina","506610","*****"
"0500000US37085","Harnett County, North Carolina","124987","*****"
"0500000US37089","Henderson County, North Carolina","109540","*****"
"0500000US37097","Iredell County, North Carolina","164517","*****"
"0500000US37101","Johnston County, North Carolina","177967","*****"
"0500000US37109","Lincoln County, North Carolina","79740","*****"
"0500000US37119","Mecklenburg County, North Carolina","990977","*****"
"0500000US37125","Moore County, North Carolina","91587","*****"
"0500000US37127","Nash County, North Carolina","95093","*****"
"0500000US37129","New Hanover County, North Carolina","213267","*****"
"0500000US37133","Onslow County, North Carolina","185220","*****"
"0500000US37135","Orange County, North Carolina","140352","*****"
"0500000US37147","Pitt County, North Carolina","174263","*****"
"0500000US37151","Randolph County, North Carolina","142577","*****"
"0500000US37155","Robeson County, North Carolina","134841","*****"
"0500000US37157","Rockingham County, North Carolina","91878","*****"
"0500000US37159","Rowan County, North Carolina","138323","*****"
"0500000US37161","Rutherford County, North Carolina","66956","*****"
"0500000US37171","Surry County, North Carolina","73050","*****"
"0500000US37179","Union County, North Carolina","212756","*****"
"0500000US37183","Wake County, North Carolina","974289","*****"
"0500000US37191","Wayne County, North Carolina","124583","*****"
"0500000US37193","Wilkes County, North Carolina","69023","*****"
