"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
201812,"Atlanta-Sandy Springs-Roswell, GA",12060,137,99,57,29,92,4.6,3.5,2.0,1.0,3.3
201901,"Atlanta-Sandy Springs-Roswell, GA",12060,132,95,54,29,90,4.5,3.4,1.9,1.0,3.2
201902,"Atlanta-Sandy Springs-Roswell, GA",12060,128,93,56,27,91,4.4,3.3,2.0,1.0,3.2
201903,"Atlanta-Sandy Springs-Roswell, GA",12060,134,96,57,27,92,4.6,3.4,2.0,1.0,3.3
201904,"Atlanta-Sandy Springs-Roswell, GA",12060,146,98,61,26,95,4.9,3.5,2.2,.9,3.4
201905,"Atlanta-Sandy Springs-Roswell, GA",12060,148,106,63,27,96,5.0,3.7,2.2,.9,3.4
201906,"Atlanta-Sandy Springs-Roswell, GA",12060,137,113,65,27,98,4.6,4.0,2.3,1.0,3.4
201907,"Atlanta-Sandy Springs-Roswell, GA",12060,129,124,67,25,98,4.3,4.4,2.4,.9,3.5
201908,"Atlanta-Sandy Springs-Roswell, GA",12060,129,124,73,28,108,4.3,4.3,2.6,1.0,3.8
201909,"Atlanta-Sandy Springs-Roswell, GA",12060,138,126,73,34,113,4.6,4.4,2.6,1.2,4.0
201910,"Atlanta-Sandy Springs-Roswell, GA",12060,137,119,69,38,113,4.6,4.2,2.4,1.3,3.9
201911,"Atlanta-Sandy Springs-Roswell, GA",12060,136,119,63,36,105,4.5,4.1,2.2,1.2,3.6
201912,"Atlanta-Sandy Springs-Roswell, GA",12060,132,114,68,35,109,4.4,4.0,2.4,1.2,3.8
200102,"Chicago-Naperville-Elgin, IL-IN-WI",16980,126,137,86,86,183,2.7,3.0,1.9,1.9,4.0
200103,"Chicago-Naperville-Elgin, IL-IN-WI",16980,125,143,85,76,174,2.7,3.2,1.9,1.7,3.9
200104,"Chicago-Naperville-Elgin, IL-IN-WI",16980,130,140,79,53,144,2.8,3.1,1.7,1.2,3.2
200105,"Chicago-Naperville-Elgin, IL-IN-WI",16980,139,160,81,48,141,3.0,3.5,1.8,1.1,3.1
200106,"Chicago-Naperville-Elgin, IL-IN-WI",16980,139,173,81,57,150,2.9,3.8,1.8,1.3,3.3
200107,"Chicago-Naperville-Elgin, IL-IN-WI",16980,138,170,84,63,160,2.9,3.7,1.8,1.4,3.5
200108,"Chicago-Naperville-Elgin, IL-IN-WI",16980,138,169,102,63,180,2.9,3.7,2.2,1.4,3.9
200109,"Chicago-Naperville-Elgin, IL-IN-WI",16980,135,166,102,72,185,2.9,3.6,2.2,1.6,4.1
200110,"Chicago-Naperville-Elgin, IL-IN-WI",16980,125,162,92,77,179,2.7,3.6,2.0,1.7,3.9
200111,"Chicago-Naperville-Elgin, IL-IN-WI",16980,115,144,64,79,151,2.5,3.2,1.4,1.7,3.3
200112,"Chicago-Naperville-Elgin, IL-IN-WI",16980,108,136,55,73,136,2.3,3.0,1.2,1.6,3.0
200201,"Chicago-Naperville-Elgin, IL-IN-WI",16980,108,128,53,72,134,2.4,2.9,1.2,1.6,3.0
200202,"Chicago-Naperville-Elgin, IL-IN-WI",16980,101,130,52,63,127,2.2,3.0,1.2,1.4,2.9
200203,"Chicago-Naperville-Elgin, IL-IN-WI",16980,102,127,49,53,114,2.3,2.9,1.1,1.2,2.6
200204,"Chicago-Naperville-Elgin, IL-IN-WI",16980,106,149,49,43,105,2.4,3.4,1.1,1.0,2.4
200205,"Chicago-Naperville-Elgin, IL-IN-WI",16980,113,158,52,44,107,2.5,3.6,1.2,1.0,2.4
200206,"Chicago-Naperville-Elgin, IL-IN-WI",16980,112,174,59,48,117,2.4,3.9,1.3,1.1,2.6
200207,"Chicago-Naperville-Elgin, IL-IN-WI",16980,117,169,61,54,125,2.5,3.8,1.4,1.2,2.8
200208,"Chicago-Naperville-Elgin, IL-IN-WI",16980,117,169,71,63,144,2.5,3.8,1.6,1.4,3.2
200209,"Chicago-Naperville-Elgin, IL-IN-WI",16980,115,167,70,64,145,2.5,3.7,1.6,1.4,3.2
200210,"Chicago-Naperville-Elgin, IL-IN-WI",16980,108,157,68,68,146,2.4,3.5,1.5,1.5,3.3
200211,"Chicago-Naperville-Elgin, IL-IN-WI",16980,106,144,56,66,130,2.3,3.2,1.3,1.5,2.9
200212,"Chicago-Naperville-Elgin, IL-IN-WI",16980,100,125,49,67,124,2.2,2.8,1.1,1.5,2.8
200301,"Chicago-Naperville-Elgin, IL-IN-WI",16980,99,122,47,66,122,2.2,2.8,1.1,1.5,2.8
200302,"Chicago-Naperville-Elgin, IL-IN-WI",16980,96,116,48,62,119,2.1,2.7,1.1,1.4,2.7
200303,"Chicago-Naperville-Elgin, IL-IN-WI",16980,103,122,50,54,113,2.3,2.8,1.2,1.3,2.6
200304,"Chicago-Naperville-Elgin, IL-IN-WI",16980,105,137,48,48,104,2.3,3.1,1.1,1.1,2.4
200305,"Chicago-Naperville-Elgin, IL-IN-WI",16980,106,155,50,45,104,2.4,3.5,1.1,1.0,2.4
200306,"Chicago-Naperville-Elgin, IL-IN-WI",16980,108,162,57,43,110,2.4,3.7,1.3,1.0,2.5
200307,"Chicago-Naperville-Elgin, IL-IN-WI",16980,107,154,60,44,113,2.4,3.5,1.4,1.0,2.5
200308,"Chicago-Naperville-Elgin, IL-IN-WI",16980,107,149,68,53,129,2.3,3.3,1.5,1.2,2.9
200309,"Chicago-Naperville-Elgin, IL-IN-WI",16980,102,148,67,62,136,2.2,3.3,1.5,1.4,3.1
200310,"Chicago-Naperville-Elgin, IL-IN-WI",16980,102,142,66,69,143,2.2,3.2,1.5,1.6,3.2
200311,"Chicago-Naperville-Elgin, IL-IN-WI",16980,97,136,57,66,131,2.1,3.1,1.3,1.5,2.9
200312,"Chicago-Naperville-Elgin, IL-IN-WI",16980,96,124,49,65,122,2.1,2.8,1.1,1.5,2.7
200401,"Chicago-Naperville-Elgin, IL-IN-WI",16980,96,120,45,66,121,2.1,2.7,1.0,1.5,2.8
200402,"Chicago-Naperville-Elgin, IL-IN-WI",16980,98,118,44,62,116,2.2,2.7,1.0,1.4,2.7
200403,"Chicago-Naperville-Elgin, IL-IN-WI",16980,104,129,47,63,120,2.3,3.0,1.1,1.5,2.8
200404,"Chicago-Naperville-Elgin, IL-IN-WI",16980,107,156,48,53,109,2.4,3.6,1.1,1.2,2.5
200405,"Chicago-Naperville-Elgin, IL-IN-WI",16980,114,179,54,51,113,2.5,4.1,1.2,1.2,2.6
200406,"Chicago-Naperville-Elgin, IL-IN-WI",16980,116,197,59,50,119,2.6,4.5,1.3,1.1,2.7
200407,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,180,68,52,131,2.6,4.0,1.5,1.2,2.9
200408,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,180,76,60,148,2.6,4.0,1.7,1.4,3.3
200409,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,170,75,68,152,2.6,3.8,1.7,1.5,3.4
200410,"Chicago-Naperville-Elgin, IL-IN-WI",16980,118,168,71,76,155,2.6,3.8,1.6,1.7,3.5
200411,"Chicago-Naperville-Elgin, IL-IN-WI",16980,115,158,58,80,145,2.5,3.5,1.3,1.8,3.3
200412,"Chicago-Naperville-Elgin, IL-IN-WI",16980,111,139,52,79,138,2.4,3.1,1.2,1.8,3.1
200501,"Chicago-Naperville-Elgin, IL-IN-WI",16980,113,149,48,74,130,2.5,3.4,1.1,1.7,2.9
200502,"Chicago-Naperville-Elgin, IL-IN-WI",16980,119,143,49,63,119,2.6,3.2,1.1,1.4,2.7
200503,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,159,56,56,120,2.8,3.7,1.3,1.3,2.8
200504,"Chicago-Naperville-Elgin, IL-IN-WI",16980,125,158,63,51,121,2.8,3.6,1.4,1.2,2.8
200505,"Chicago-Naperville-Elgin, IL-IN-WI",16980,126,174,71,49,128,2.8,3.9,1.6,1.1,2.9
200506,"Chicago-Naperville-Elgin, IL-IN-WI",16980,127,180,68,44,121,2.8,4.0,1.5,1.0,2.7
200507,"Chicago-Naperville-Elgin, IL-IN-WI",16980,125,171,73,45,127,2.7,3.8,1.6,1.0,2.8
200508,"Chicago-Naperville-Elgin, IL-IN-WI",16980,122,166,82,50,143,2.6,3.7,1.8,1.1,3.2
200509,"Chicago-Naperville-Elgin, IL-IN-WI",16980,115,150,86,54,153,2.5,3.3,1.9,1.2,3.4
200510,"Chicago-Naperville-Elgin, IL-IN-WI",16980,107,147,79,53,144,2.3,3.3,1.8,1.2,3.2
200511,"Chicago-Naperville-Elgin, IL-IN-WI",16980,105,144,70,62,143,2.3,3.2,1.6,1.4,3.2
200512,"Chicago-Naperville-Elgin, IL-IN-WI",16980,104,138,64,65,140,2.2,3.1,1.4,1.4,3.1
200601,"Chicago-Naperville-Elgin, IL-IN-WI",16980,103,126,63,70,144,2.2,2.8,1.4,1.6,3.2
200602,"Chicago-Naperville-Elgin, IL-IN-WI",16980,99,117,61,60,131,2.2,2.6,1.4,1.3,3.0
200603,"Chicago-Naperville-Elgin, IL-IN-WI",16980,106,134,70,48,131,2.3,3.0,1.6,1.1,3.0
200604,"Chicago-Naperville-Elgin, IL-IN-WI",16980,109,145,72,41,126,2.4,3.3,1.6,.9,2.8
200605,"Chicago-Naperville-Elgin, IL-IN-WI",16980,119,165,80,38,131,2.6,3.7,1.8,.8,2.9
200606,"Chicago-Naperville-Elgin, IL-IN-WI",16980,131,161,80,37,128,2.8,3.6,1.8,.8,2.8
200607,"Chicago-Naperville-Elgin, IL-IN-WI",16980,142,167,81,37,129,3.0,3.7,1.8,.8,2.8
200608,"Chicago-Naperville-Elgin, IL-IN-WI",16980,147,156,87,43,141,3.1,3.4,1.9,.9,3.1
200609,"Chicago-Naperville-Elgin, IL-IN-WI",16980,143,149,82,50,142,3.0,3.3,1.8,1.1,3.1
200610,"Chicago-Naperville-Elgin, IL-IN-WI",16980,132,141,82,52,143,2.8,3.1,1.8,1.1,3.1
200611,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,137,67,49,124,2.6,3.0,1.5,1.1,2.7
200612,"Chicago-Naperville-Elgin, IL-IN-WI",16980,116,126,66,49,125,2.5,2.8,1.5,1.1,2.7
200701,"Chicago-Naperville-Elgin, IL-IN-WI",16980,118,119,70,55,137,2.5,2.6,1.5,1.2,3.0
200702,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,116,71,49,134,2.7,2.6,1.6,1.1,3.0
200703,"Chicago-Naperville-Elgin, IL-IN-WI",16980,131,128,75,46,134,2.8,2.9,1.7,1.0,3.0
200704,"Chicago-Naperville-Elgin, IL-IN-WI",16980,142,146,76,44,131,3.1,3.3,1.7,1.0,2.9
200705,"Chicago-Naperville-Elgin, IL-IN-WI",16980,146,165,83,54,148,3.1,3.6,1.8,1.2,3.3
200706,"Chicago-Naperville-Elgin, IL-IN-WI",16980,144,175,83,60,156,3.0,3.8,1.8,1.3,3.4
200707,"Chicago-Naperville-Elgin, IL-IN-WI",16980,137,172,81,63,161,2.9,3.7,1.8,1.4,3.5
200708,"Chicago-Naperville-Elgin, IL-IN-WI",16980,138,169,89,72,176,2.9,3.7,1.9,1.6,3.8
200709,"Chicago-Naperville-Elgin, IL-IN-WI",16980,137,174,94,68,175,2.9,3.8,2.0,1.5,3.8
200710,"Chicago-Naperville-Elgin, IL-IN-WI",16980,134,174,102,64,177,2.8,3.8,2.2,1.4,3.9
200711,"Chicago-Naperville-Elgin, IL-IN-WI",16980,130,162,85,56,152,2.7,3.5,1.8,1.2,3.3
200712,"Chicago-Naperville-Elgin, IL-IN-WI",16980,127,140,75,63,148,2.7,3.0,1.6,1.4,3.2
200801,"Chicago-Naperville-Elgin, IL-IN-WI",16980,127,128,65,69,150,2.7,2.8,1.4,1.5,3.3
200802,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,120,66,65,148,2.6,2.6,1.5,1.5,3.3
200803,"Chicago-Naperville-Elgin, IL-IN-WI",16980,116,120,62,52,132,2.5,2.7,1.4,1.2,3.0
200804,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,123,57,46,114,2.6,2.7,1.3,1.0,2.5
200805,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,139,61,43,113,2.6,3.1,1.3,1.0,2.5
200806,"Chicago-Naperville-Elgin, IL-IN-WI",16980,120,151,65,47,120,2.6,3.3,1.4,1.0,2.6
200807,"Chicago-Naperville-Elgin, IL-IN-WI",16980,105,153,68,42,119,2.2,3.3,1.5,.9,2.6
200808,"Chicago-Naperville-Elgin, IL-IN-WI",16980,103,144,72,42,125,2.2,3.2,1.6,.9,2.7
200809,"Chicago-Naperville-Elgin, IL-IN-WI",16980,101,137,78,48,136,2.2,3.0,1.7,1.1,3.0
200810,"Chicago-Naperville-Elgin, IL-IN-WI",16980,101,135,74,60,144,2.2,3.0,1.6,1.3,3.2
200811,"Chicago-Naperville-Elgin, IL-IN-WI",16980,88,124,61,62,130,1.9,2.7,1.4,1.4,2.9
200812,"Chicago-Naperville-Elgin, IL-IN-WI",16980,83,107,50,71,127,1.8,2.4,1.1,1.6,2.8
200901,"Chicago-Naperville-Elgin, IL-IN-WI",16980,76,97,50,74,132,1.7,2.2,1.1,1.7,3.0
200902,"Chicago-Naperville-Elgin, IL-IN-WI",16980,75,91,48,75,134,1.7,2.1,1.1,1.7,3.1
200903,"Chicago-Naperville-Elgin, IL-IN-WI",16980,71,92,41,67,119,1.6,2.1,1.0,1.6,2.8
200904,"Chicago-Naperville-Elgin, IL-IN-WI",16980,71,91,32,63,104,1.6,2.1,.7,1.5,2.4
200905,"Chicago-Naperville-Elgin, IL-IN-WI",16980,71,99,31,64,103,1.6,2.3,.7,1.5,2.4
200906,"Chicago-Naperville-Elgin, IL-IN-WI",16980,70,108,33,57,98,1.6,2.5,.8,1.3,2.3
200907,"Chicago-Naperville-Elgin, IL-IN-WI",16980,68,104,35,47,90,1.6,2.4,.8,1.1,2.1
200908,"Chicago-Naperville-Elgin, IL-IN-WI",16980,67,105,40,44,92,1.5,2.4,.9,1.0,2.2
200909,"Chicago-Naperville-Elgin, IL-IN-WI",16980,65,98,38,46,93,1.5,2.3,.9,1.1,2.2
200910,"Chicago-Naperville-Elgin, IL-IN-WI",16980,66,105,40,44,92,1.5,2.5,.9,1.0,2.2
200911,"Chicago-Naperville-Elgin, IL-IN-WI",16980,59,94,38,39,84,1.4,2.2,.9,.9,2.0
200912,"Chicago-Naperville-Elgin, IL-IN-WI",16980,54,80,38,46,91,1.3,1.9,.9,1.1,2.1
201001,"Chicago-Naperville-Elgin, IL-IN-WI",16980,50,69,35,57,99,1.2,1.6,.8,1.3,2.3
201002,"Chicago-Naperville-Elgin, IL-IN-WI",16980,55,66,32,53,91,1.3,1.6,.8,1.3,2.2
201003,"Chicago-Naperville-Elgin, IL-IN-WI",16980,66,79,30,44,79,1.6,1.9,.7,1.1,1.9
201004,"Chicago-Naperville-Elgin, IL-IN-WI",16980,72,92,30,38,73,1.7,2.2,.7,.9,1.7
201005,"Chicago-Naperville-Elgin, IL-IN-WI",16980,81,117,33,48,86,1.9,2.8,.8,1.1,2.0
201006,"Chicago-Naperville-Elgin, IL-IN-WI",16980,84,127,38,49,96,1.9,3.0,.9,1.2,2.2
201007,"Chicago-Naperville-Elgin, IL-IN-WI",16980,87,128,44,51,104,2.0,3.0,1.0,1.2,2.4
201008,"Chicago-Naperville-Elgin, IL-IN-WI",16980,84,118,54,49,112,1.9,2.8,1.3,1.1,2.6
201009,"Chicago-Naperville-Elgin, IL-IN-WI",16980,82,114,54,54,116,1.9,2.7,1.3,1.3,2.7
201010,"Chicago-Naperville-Elgin, IL-IN-WI",16980,91,112,52,49,107,2.1,2.6,1.2,1.1,2.5
201011,"Chicago-Naperville-Elgin, IL-IN-WI",16980,92,114,46,54,106,2.1,2.7,1.1,1.3,2.5
201012,"Chicago-Naperville-Elgin, IL-IN-WI",16980,89,97,50,55,111,2.0,2.3,1.2,1.3,2.6
201101,"Chicago-Naperville-Elgin, IL-IN-WI",16980,85,90,48,56,118,1.9,2.1,1.1,1.3,2.8
201102,"Chicago-Naperville-Elgin, IL-IN-WI",16980,84,82,43,45,102,2.0,1.9,1.0,1.1,2.4
201103,"Chicago-Naperville-Elgin, IL-IN-WI",16980,92,105,41,34,89,2.2,2.5,1.0,.8,2.1
201104,"Chicago-Naperville-Elgin, IL-IN-WI",16980,93,119,47,35,88,2.1,2.8,1.1,.8,2.1
201105,"Chicago-Naperville-Elgin, IL-IN-WI",16980,102,132,50,40,97,2.3,3.1,1.2,.9,2.3
201106,"Chicago-Naperville-Elgin, IL-IN-WI",16980,107,136,51,45,103,2.4,3.2,1.2,1.0,2.4
201107,"Chicago-Naperville-Elgin, IL-IN-WI",16980,109,134,55,48,111,2.5,3.1,1.3,1.1,2.6
201108,"Chicago-Naperville-Elgin, IL-IN-WI",16980,106,131,66,50,124,2.4,3.0,1.5,1.2,2.9
201109,"Chicago-Naperville-Elgin, IL-IN-WI",16980,111,123,64,53,125,2.5,2.8,1.5,1.2,2.9
201110,"Chicago-Naperville-Elgin, IL-IN-WI",16980,117,131,59,51,117,2.6,3.0,1.4,1.2,2.7
201111,"Chicago-Naperville-Elgin, IL-IN-WI",16980,111,124,46,50,102,2.5,2.9,1.1,1.1,2.3
201112,"Chicago-Naperville-Elgin, IL-IN-WI",16980,96,113,45,51,102,2.2,2.6,1.0,1.2,2.3
201201,"Chicago-Naperville-Elgin, IL-IN-WI",16980,87,96,43,52,102,2.0,2.2,1.0,1.2,2.3
201202,"Chicago-Naperville-Elgin, IL-IN-WI",16980,97,87,48,49,104,2.2,2.0,1.1,1.1,2.4
201203,"Chicago-Naperville-Elgin, IL-IN-WI",16980,110,108,49,43,97,2.5,2.5,1.1,1.0,2.3
201204,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,122,49,41,96,2.8,2.8,1.1,1.0,2.2
201205,"Chicago-Naperville-Elgin, IL-IN-WI",16980,126,146,54,43,104,2.8,3.4,1.3,1.0,2.4
201206,"Chicago-Naperville-Elgin, IL-IN-WI",16980,122,144,53,43,104,2.7,3.3,1.2,1.0,2.4
201207,"Chicago-Naperville-Elgin, IL-IN-WI",16980,119,141,56,39,103,2.6,3.2,1.3,.9,2.3
201208,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,143,58,46,114,2.7,3.2,1.3,1.0,2.6
201209,"Chicago-Naperville-Elgin, IL-IN-WI",16980,128,135,62,46,117,2.8,3.1,1.4,1.0,2.7
201210,"Chicago-Naperville-Elgin, IL-IN-WI",16980,134,135,61,48,118,2.9,3.0,1.4,1.1,2.7
201211,"Chicago-Naperville-Elgin, IL-IN-WI",16980,124,119,49,40,98,2.7,2.7,1.1,.9,2.2
201212,"Chicago-Naperville-Elgin, IL-IN-WI",16980,116,109,50,53,113,2.5,2.5,1.1,1.2,2.5
201301,"Chicago-Naperville-Elgin, IL-IN-WI",16980,106,97,50,50,111,2.4,2.2,1.1,1.1,2.5
201302,"Chicago-Naperville-Elgin, IL-IN-WI",16980,116,94,53,51,114,2.6,2.2,1.2,1.2,2.6
201303,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,106,49,38,96,2.8,2.4,1.1,.9,2.2
201304,"Chicago-Naperville-Elgin, IL-IN-WI",16980,130,124,53,38,98,2.9,2.8,1.2,.9,2.2
201305,"Chicago-Naperville-Elgin, IL-IN-WI",16980,125,154,57,39,104,2.7,3.5,1.3,.9,2.4
201306,"Chicago-Naperville-Elgin, IL-IN-WI",16980,126,163,62,40,110,2.7,3.7,1.4,.9,2.5
201307,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121,169,64,41,114,2.6,3.8,1.4,.9,2.6
201308,"Chicago-Naperville-Elgin, IL-IN-WI",16980,125,165,73,52,135,2.7,3.7,1.6,1.2,3.0
201309,"Chicago-Naperville-Elgin, IL-IN-WI",16980,122,165,78,59,147,2.7,3.7,1.7,1.3,3.3
201310,"Chicago-Naperville-Elgin, IL-IN-WI",16980,129,164,79,59,145,2.8,3.6,1.8,1.3,3.2
201311,"Chicago-Naperville-Elgin, IL-IN-WI",16980,129,158,67,47,121,2.8,3.5,1.5,1.1,2.7
201312,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123,154,59,53,117,2.7,3.4,1.3,1.2,2.6
201401,"Chicago-Naperville-Elgin, IL-IN-WI",16980,117,138,53,64,128,2.5,3.1,1.2,1.4,2.9
201402,"Chicago-Naperville-Elgin, IL-IN-WI",16980,117,125,52,65,128,2.6,2.8,1.2,1.5,2.9
201403,"Chicago-Naperville-Elgin, IL-IN-WI",16980,127,122,51,54,115,2.8,2.8,1.1,1.2,2.6
201404,"Chicago-Naperville-Elgin, IL-IN-WI",16980,149,140,62,45,113,3.3,3.2,1.4,1.0,2.5
201405,"Chicago-Naperville-Elgin, IL-IN-WI",16980,168,171,67,46,119,3.6,3.8,1.5,1.0,2.6
201406,"Chicago-Naperville-Elgin, IL-IN-WI",16980,177,187,82,50,140,3.8,4.1,1.8,1.1,3.1
201407,"Chicago-Naperville-Elgin, IL-IN-WI",16980,171,191,85,49,143,3.6,4.2,1.9,1.1,3.1
201408,"Chicago-Naperville-Elgin, IL-IN-WI",16980,173,177,98,51,157,3.7,3.9,2.1,1.1,3.5
201409,"Chicago-Naperville-Elgin, IL-IN-WI",16980,172,172,102,48,157,3.6,3.8,2.2,1.0,3.5
201410,"Chicago-Naperville-Elgin, IL-IN-WI",16980,171,169,98,50,155,3.6,3.7,2.1,1.1,3.4
201411,"Chicago-Naperville-Elgin, IL-IN-WI",16980,159,168,82,50,141,3.4,3.7,1.8,1.1,3.1
201412,"Chicago-Naperville-Elgin, IL-IN-WI",16980,155,153,63,53,123,3.3,3.4,1.4,1.1,2.7
201501,"Chicago-Naperville-Elgin, IL-IN-WI",16980,156,140,63,57,127,3.3,3.1,1.4,1.2,2.8
201502,"Chicago-Naperville-Elgin, IL-IN-WI",16980,160,124,65,54,126,3.4,2.8,1.4,1.2,2.8
201503,"Chicago-Naperville-Elgin, IL-IN-WI",16980,172,126,76,49,133,3.7,2.8,1.7,1.1,3.0
201504,"Chicago-Naperville-Elgin, IL-IN-WI",16980,180,138,72,50,134,3.8,3.1,1.6,1.1,3.0
201505,"Chicago-Naperville-Elgin, IL-IN-WI",16980,184,163,79,51,142,3.9,3.6,1.7,1.1,3.1
201506,"Chicago-Naperville-Elgin, IL-IN-WI",16980,183,185,74,51,138,3.8,4.0,1.6,1.1,3.0
201507,"Chicago-Naperville-Elgin, IL-IN-WI",16980,183,175,81,52,142,3.8,3.8,1.7,1.1,3.1
201508,"Chicago-Naperville-Elgin, IL-IN-WI",16980,183,168,83,53,148,3.8,3.6,1.8,1.1,3.2
201509,"Chicago-Naperville-Elgin, IL-IN-WI",16980,184,149,81,55,147,3.8,3.2,1.7,1.2,3.2
201510,"Chicago-Naperville-Elgin, IL-IN-WI",16980,184,157,74,57,140,3.8,3.4,1.6,1.2,3.0
201511,"Chicago-Naperville-Elgin, IL-IN-WI",16980,184,152,64,57,127,3.8,3.3,1.4,1.2,2.7
201512,"Chicago-Naperville-Elgin, IL-IN-WI",16980,181,156,67,67,145,3.7,3.3,1.4,1.4,3.1
201601,"Chicago-Naperville-Elgin, IL-IN-WI",16980,181,148,72,74,160,3.8,3.2,1.6,1.6,3.5
201602,"Chicago-Naperville-Elgin, IL-IN-WI",16980,190,139,77,76,168,4.0,3.0,1.7,1.7,3.7
201603,"Chicago-Naperville-Elgin, IL-IN-WI",16980,191,141,78,71,160,4.0,3.1,1.7,1.6,3.5
201604,"Chicago-Naperville-Elgin, IL-IN-WI",16980,188,152,77,57,143,3.9,3.3,1.7,1.2,3.1
201605,"Chicago-Naperville-Elgin, IL-IN-WI",16980,199,163,79,49,139,4.1,3.5,1.7,1.1,3.0
201606,"Chicago-Naperville-Elgin, IL-IN-WI",16980,200,181,90,41,143,4.1,3.9,1.9,.9,3.1
201607,"Chicago-Naperville-Elgin, IL-IN-WI",16980,210,179,91,46,148,4.3,3.8,1.9,1.0,3.2
201608,"Chicago-Naperville-Elgin, IL-IN-WI",16980,194,184,100,51,162,4.0,3.9,2.1,1.1,3.5
201609,"Chicago-Naperville-Elgin, IL-IN-WI",16980,191,167,95,49,153,3.9,3.5,2.0,1.0,3.3
201610,"Chicago-Naperville-Elgin, IL-IN-WI",16980,187,167,98,42,151,3.8,3.6,2.1,.9,3.2
201611,"Chicago-Naperville-Elgin, IL-IN-WI",16980,179,166,85,58,154,3.7,3.5,1.8,1.2,3.3
201612,"Chicago-Naperville-Elgin, IL-IN-WI",16980,166,162,81,75,166,3.4,3.4,1.7,1.6,3.5
201701,"Chicago-Naperville-Elgin, IL-IN-WI",16980,156,156,84,97,190,3.2,3.3,1.8,2.1,4.1
201702,"Chicago-Naperville-Elgin, IL-IN-WI",16980,156,142,82,78,168,3.3,3.1,1.8,1.7,3.6
201703,"Chicago-Naperville-Elgin, IL-IN-WI",16980,172,155,87,65,159,3.6,3.4,1.9,1.4,3.5
201704,"Chicago-Naperville-Elgin, IL-IN-WI",16980,172,164,74,43,123,3.6,3.5,1.6,.9,2.7
201705,"Chicago-Naperville-Elgin, IL-IN-WI",16980,179,182,79,44,129,3.7,3.9,1.7,.9,2.8
201706,"Chicago-Naperville-Elgin, IL-IN-WI",16980,182,196,85,50,144,3.7,4.2,1.8,1.1,3.0
201707,"Chicago-Naperville-Elgin, IL-IN-WI",16980,196,199,96,51,156,4.0,4.2,2.0,1.1,3.3
201708,"Chicago-Naperville-Elgin, IL-IN-WI",16980,207,194,113,60,180,4.2,4.1,2.4,1.3,3.8
201709,"Chicago-Naperville-Elgin, IL-IN-WI",16980,223,179,109,54,170,4.5,3.8,2.3,1.1,3.6
201710,"Chicago-Naperville-Elgin, IL-IN-WI",16980,228,172,104,60,171,4.6,3.6,2.2,1.3,3.6
201711,"Chicago-Naperville-Elgin, IL-IN-WI",16980,217,159,85,59,150,4.4,3.4,1.8,1.2,3.2
201712,"Chicago-Naperville-Elgin, IL-IN-WI",16980,191,142,82,63,151,3.9,3.0,1.7,1.3,3.2
201801,"Chicago-Naperville-Elgin, IL-IN-WI",16980,174,136,86,64,160,3.6,2.9,1.8,1.4,3.4
201802,"Chicago-Naperville-Elgin, IL-IN-WI",16980,176,135,85,54,149,3.6,2.9,1.8,1.2,3.2
201803,"Chicago-Naperville-Elgin, IL-IN-WI",16980,181,163,87,48,145,3.7,3.5,1.9,1.0,3.1
201804,"Chicago-Naperville-Elgin, IL-IN-WI",16980,192,190,79,44,129,3.9,4.1,1.7,.9,2.8
201805,"Chicago-Naperville-Elgin, IL-IN-WI",16980,210,223,87,57,149,4.3,4.7,1.8,1.2,3.2
201806,"Chicago-Naperville-Elgin, IL-IN-WI",16980,234,234,95,67,170,4.7,4.9,2.0,1.4,3.6
201807,"Chicago-Naperville-Elgin, IL-IN-WI",16980,243,218,108,68,184,4.9,4.6,2.3,1.4,3.9
201808,"Chicago-Naperville-Elgin, IL-IN-WI",16980,235,215,120,67,194,4.7,4.5,2.5,1.4,4.1
201809,"Chicago-Naperville-Elgin, IL-IN-WI",16980,229,207,112,67,186,4.6,4.3,2.4,1.4,3.9
201810,"Chicago-Naperville-Elgin, IL-IN-WI",16980,235,221,112,80,198,4.7,4.6,2.3,1.7,4.1
