"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
201604,"Atlanta-Sandy Springs-Roswell, GA",12060,128,103,53,30,89,4.6,3.9,2.0,1.2,3.4
201605,"Atlanta-Sandy Springs-Roswell, GA",12060,128,110,54,30,90,4.6,4.2,2.0,1.2,3.4
201606,"Atlanta-Sandy Springs-Roswell, GA",12060,113,117,57,30,93,4.1,4.4,2.1,1.1,3.5
201607,"Atlanta-Sandy Springs-Roswell, GA",12060,110,122,61,34,101,4.0,4.6,2.3,1.3,3.8
201608,"Atlanta-Sandy Springs-Roswell, GA",12060,107,126,67,33,106,3.8,4.7,2.5,1.2,4.0
201609,"Atlanta-Sandy Springs-Roswell, GA",12060,112,123,67,33,106,4.0,4.6,2.5,1.3,4.0
201610,"Atlanta-Sandy Springs-Roswell, GA",12060,114,118,62,31,99,4.1,4.4,2.3,1.2,3.7
201611,"Atlanta-Sandy Springs-Roswell, GA",12060,112,104,52,29,85,4.0,3.8,1.9,1.1,3.2
201612,"Atlanta-Sandy Springs-Roswell, GA",12060,110,94,49,31,85,3.9,3.5,1.8,1.1,3.1
201701,"Atlanta-Sandy Springs-Roswell, GA",12060,110,95,49,31,87,3.9,3.5,1.8,1.1,3.2
201702,"Atlanta-Sandy Springs-Roswell, GA",12060,119,99,55,31,93,4.2,3.7,2.0,1.1,3.5
201703,"Atlanta-Sandy Springs-Roswell, GA",12060,122,115,54,26,86,4.3,4.3,2.0,1.0,3.2
201704,"Atlanta-Sandy Springs-Roswell, GA",12060,133,117,57,26,89,4.7,4.3,2.1,1.0,3.3
201705,"Atlanta-Sandy Springs-Roswell, GA",12060,131,133,60,29,96,4.6,4.9,2.2,1.1,3.5
201706,"Atlanta-Sandy Springs-Roswell, GA",12060,127,131,66,31,105,4.5,4.8,2.4,1.2,3.9
201707,"Atlanta-Sandy Springs-Roswell, GA",12060,117,129,70,31,109,4.1,4.8,2.6,1.2,4.0
201708,"Atlanta-Sandy Springs-Roswell, GA",12060,115,120,72,34,113,4.0,4.4,2.7,1.2,4.1
201709,"Atlanta-Sandy Springs-Roswell, GA",12060,113,111,70,35,111,4.0,4.1,2.6,1.3,4.1
201710,"Atlanta-Sandy Springs-Roswell, GA",12060,112,108,63,35,103,3.9,3.9,2.3,1.3,3.8
201711,"Atlanta-Sandy Springs-Roswell, GA",12060,109,98,52,33,90,3.8,3.5,1.9,1.2,3.2
201712,"Atlanta-Sandy Springs-Roswell, GA",12060,108,92,46,32,83,3.7,3.3,1.7,1.1,3.0
201801,"Atlanta-Sandy Springs-Roswell, GA",12060,108,88,45,34,85,3.8,3.2,1.6,1.2,3.1
201802,"Atlanta-Sandy Springs-Roswell, GA",12060,112,86,47,32,84,3.9,3.1,1.7,1.2,3.0
201803,"Atlanta-Sandy Springs-Roswell, GA",12060,119,91,51,31,88,4.2,3.3,1.8,1.1,3.2
201804,"Atlanta-Sandy Springs-Roswell, GA",12060,131,95,54,26,86,4.5,3.5,1.9,.9,3.1
201805,"Atlanta-Sandy Springs-Roswell, GA",12060,141,107,59,28,94,4.8,3.9,2.1,1.0,3.4
201806,"Atlanta-Sandy Springs-Roswell, GA",12060,145,113,63,29,98,5.0,4.1,2.3,1.0,3.5
201807,"Atlanta-Sandy Springs-Roswell, GA",12060,143,118,65,30,101,4.9,4.2,2.3,1.1,3.6
201808,"Atlanta-Sandy Springs-Roswell, GA",12060,140,115,70,30,107,4.8,4.1,2.5,1.1,3.8
201809,"Atlanta-Sandy Springs-Roswell, GA",12060,140,117,68,29,104,4.8,4.2,2.4,1.1,3.7
201810,"Atlanta-Sandy Springs-Roswell, GA",12060,136,116,69,31,107,4.6,4.1,2.5,1.1,3.8
201811,"Atlanta-Sandy Springs-Roswell, GA",12060,137,113,61,29,95,4.7,4.0,2.2,1.0,3.4
